time,obs_0,x_0,x_1,regime
0.0,nan,-0.651089753431159,0.06392020158364269,0
0.01,nan,-0.6514265329406325,0.06753612250886362,0
0.02,nan,-0.6317588307675809,0.05932361845182786,0
0.03,-0.7561131483396188,-0.6181766914991007,0.053710224521261146,0
0.04,-0.987878963053971,-0.6174366513881678,0.0700320542391363,0
0.05,-0.6151985379264084,-0.6542106755523102,0.043752447406445405,3
0.06,-0.757535334866589,-0.680583330123405,-0.0031386372275529206,3
0.07,-0.4855761385603754,-0.6907457022758915,0.011865733953139654,3
0.08,-0.7799659843249663,-0.6929896550921635,0.015762206922211,3
0.09,nan,-0.6677403568824868,0.04223711853295378,3
0.1,-0.8031540894449053,-0.6657844137925971,0.06909765073167697,3
0.11,-0.73200963118675,-0.660612958554952,0.052004198001469326,3
0.12,-0.39093942881469446,-0.6691979008061519,0.02213344676016165,3
0.13,-0.940940150950123,-0.6836145883767942,0.014862445764872258,3
0.14,nan,-0.6641248150473382,0.04920353015936758,3
0.15,-0.5080931505175427,-0.6884478212796423,0.05681406187376911,3
0.16,-0.6624665274078659,-0.7058164609563948,0.0660239333336643,3
0.17,-0.5891652486007178,-0.7049091116653674,0.029075697150045363,0
0.18,-0.9153575744972924,-0.6828186262756709,0.016830304408120514,0
0.19,-0.9237505862863874,-0.6900825379117637,-0.004648895339713889,2
0.2,-1.0066170798839007,-0.699717790755956,0.003932157950883025,2
0.21,-0.6296746425182854,-0.7000040886209044,0.010485737206778232,2
0.22,-0.7600342760003057,-0.689265631099223,0.03684654163130768,2
0.23,-0.5493264719574387,-0.6926750259610144,0.007125152586236503,2
0.24,-0.9055725840401311,-0.6678672024997696,0.0004597633813602257,1
0.25,-0.6609270714248252,-0.6422360175957232,0.008125006828102833,1
0.26,-0.5559733381869979,-0.6416475881118116,0.015059899674888222,1
0.27,-0.7375063530867251,-0.5994190989687266,0.056524210757588844,1
0.28,-0.7519878628695217,-0.5950343807712274,0.05944540157014241,3
0.29,-0.6154135445241713,-0.5705344057180436,0.04223495390694475,3
0.3,-0.4222536767204952,-0.5610203262370883,0.041506522178332894,3
0.31,-0.528882944158257,-0.5519370603767518,0.024631613448453108,3
0.32,-0.33456330189664296,-0.5809687249410475,-0.016951213338615,3
0.33,nan,-0.6004115635761343,-0.026039962970708583,2
0.34,-0.548635134887594,-0.6032733374912289,0.012834860092735302,2
0.35000000000000003,-0.5447903455799907,-0.5781371034056267,-0.006471136534560924,2
0.36,-0.4194171448984171,-0.5682922488395795,-0.014580345578894621,2
0.37,-0.8204910026525026,-0.5711380643561835,-0.010800930862692508,2
0.38,-0.4324764688540341,-0.5558989516948948,-0.017532095886059352,3
0.39,-0.31463962561118947,-0.5318424262817331,-0.04028319992947714,3
0.4,-0.7371923531377933,-0.529056432903079,0.011871690602086898,3
0.41000000000000003,-1.027608291306917,-0.5219495558860581,0.04047662228119992,2
0.42,-0.10602579785617727,-0.5175094045431636,0.051889781076389856,2
0.43,-0.4579849999175078,-0.5160575214083016,0.048222180547723814,2
0.44,-0.5216549760402228,-0.5290668817357684,0.05658709682413626,2
0.45,-0.18380613019025227,-0.543452291110805,0.06961586606628417,2
0.46,-1.022841742344588,-0.5190292895663327,0.07659841488069735,2
0.47000000000000003,-0.26632544814830506,-0.5221591177896149,0.08529473439246779,3
0.48,-0.8450575409497334,-0.525721783311595,0.10357920322980843,3
0.49,-0.4446413370691963,-0.5597212960793395,0.09634915985128646,3
0.5,-0.5181451959115355,-0.5967389295014228,0.06596619744748593,3
0.51,-0.6527568410209278,-0.5664779902576375,0.08354006609968222,3
0.52,-0.6440574722227417,-0.5780352049720451,0.053072296648365866,3
0.53,-0.3784038140358562,-0.6344356057040179,0.04193702500647135,3
0.54,-0.6612448455483156,-0.5828551274305498,0.05042502531071194,3
0.55,-0.4059313347448578,-0.5911322975143869,0.05947450437416451,3
0.56,-0.6120626306191083,-0.6193958030867037,0.05323066459834098,3
0.5700000000000001,-0.5577236151684163,-0.6143092746109554,0.0512424982389283,3
0.58,-0.9727580655166339,-0.5954216058040991,0.05787919027245471,3
0.59,-0.6297907511618833,-0.5790779774129187,0.043822348676477246,3
0.6,-0.4299433385575171,-0.5582262793576431,0.0761819758855747,3
