time,obs_0,x_0,x_1,regime
0.0,-0.2538589238590223,-0.16744251499288743,0.0813765325525028,0
0.01,-0.14824170837989947,-0.16030082957088151,0.05285666871534134,0
0.02,-0.1697575549012486,-0.1210887046615271,0.046248491838137715,0
0.03,-0.24381809308141872,-0.12379980118265674,0.045194782623223316,0
0.04,-0.17341203265539654,-0.12075929117870793,0.0525217160722162,0
0.05,-0.18438330498068345,-0.13896118228357543,0.02115521779518991,0
0.06,-0.1140236412813401,-0.15716372608785928,0.01239407728523042,0
0.07,-0.1902518326783203,-0.16149238965853213,-0.009647342446118453,3
0.08,0.07228638564420398,-0.15443559435536935,-0.05369638687286182,3
0.09,-0.1303938581041258,-0.17547227762122528,-0.07181519214418161,0
0.1,-0.3259436840275548,-0.17032887887271622,-0.06514416046796827,0
0.11,-0.4365545759952706,-0.208501858633005,-0.07808283588251914,2
0.12,-0.3424946100802592,-0.17016584870491006,-0.09870394583752823,2
0.13,-0.1636380860692965,-0.21206412834421035,-0.10500229486490317,2
0.14,-0.06692354639758848,-0.17408779786262366,-0.11240808780682174,2
0.15,-0.3341978787140823,-0.1895368153398978,-0.11805259966131804,1
0.16,-0.12484302818273976,-0.18494146621194374,-0.1143919693012118,3
0.17,nan,-0.1860123942537689,-0.08258714442762871,1
0.18,-0.2064180008492637,-0.20352407039962714,-0.07628348313123957,1
0.19,0.03803097610370035,-0.20456225285490892,-0.07738126677754861,1
0.2,-0.10210778106601165,-0.20309230977681716,-0.06267563130691056,1
0.21,0.09313388351467658,-0.21623721005584065,-0.06686559829286232,1
0.22,-0.2664012266210239,-0.21509672645523817,-0.08869683705452139,1
0.23,-0.013842824975477674,-0.24489748564831618,-0.0802609681579911,1
0.24,nan,-0.25268184300121416,-0.0667542409934867,1
0.25,nan,-0.23657956122689927,-0.06116130589783425,1
0.26,-0.42717824472459814,-0.2321140897872724,-0.023817670340091975,1
0.27,-0.30302725954448284,-0.19847002766028868,-0.007751525745643473,1
0.28,-0.06792078793695955,-0.21725975503525446,0.016761716792764475,1
