time,obs_0,obs_1,x_0,x_1,regime
0.0,-0.5146587629735531,0.32374892827998963,-0.40688636412393886,0.3079897112877478,0
0.01,-0.6319076149876492,0.1819759321819652,-0.4038064670110614,0.31144259550641173,0
0.02,-0.4315552226976965,0.1733623007372831,-0.40069204105599726,0.31485777498550954,0
0.03,-0.3535264333139778,0.4607283185746714,-0.39754346330614215,0.3182349798460985,0
0.04,-0.13521764441854411,0.15018744654708088,-0.39436111350768116,0.32157394451946775,0
0.05,-0.1703257168967449,0.436350850627465,-0.3911453740624865,0.32487440776550564,0
0.06,-0.3723127637502572,0.4405231754434391,-0.38789662998483143,0.3281361126905995,0
0.07,-0.7317844172541808,0.5773065373802115,-0.38461526885792546,0.3318588067650666,1
0.08,-0.4861320025954453,0.2414946467050346,-0.3812966807902748,0.33554124184011574,1
0.09,-0.4527435718229262,0.5049766044620013,-0.37794126837187364,0.33918312616433827,1
0.1,nan,0.4801331994675129,-0.37454943711023025,0.34278417259572835,1
0.11,nan,0.3683768915165137,-0.371121595384273,0.3463440986216392,1
0.12,-0.2243070923044129,0.4119855740509688,-0.3676581543980566,0.3498626263782386,1
0.13,-0.21508726198906872,0.4023288618190124,-0.3641595281342742,0.3533394826694627,1
0.14,-0.35394079776840376,0.1598262398019808,-0.3606261333075796,0.3567743989854665,1
0.15,-0.13528258383456096,0.24090084127003836,-0.35705838931772493,0.36016711152057135,1
0.16,-0.23484629900681261,0.12040449610415671,-0.3534567182025192,0.36351736119070743,1
0.17,nan,0.39589757178888835,-0.34982154459061215,0.3668248936503512,1
0.18,-0.3620364012779408,nan,-0.34615329565410863,0.37008945930895665,1
0.19,-0.38342754737349327,0.24958317659205034,-0.34245240106101904,0.3733108133468798,1
0.2,nan,0.3085801689076503,-0.33871929292755026,0.37648871573079623,1
0.21,-0.4605109246271474,0.4239963977907254,-0.3349544057702423,0.3796229312286101,1
0.22,-0.3993892817120762,0.18168559102466772,-0.3311581764579562,0.3822132294238553,0
